0	0.18283	105.6417785	1.875
1	6.94521	105.7417785	5.625
2	-0.80086	105.8417785	9.375
3	1.49791	105.8417785	13.125
4	-0.40648	105.9417785	16.875
5	5.07531	105.8417785	20.625
6	1.62385	105.9417785	24.375
7	7.87319	105.7417785	28.125
8	-7.91813	105.8417785	31.875
9	-1.09613	106.0417785	35.625
10	-2.42717	105.9417785	39.375
11	8.3246	105.9417785	43.125
12	-8.62054	105.7417785	46.875
13	0.35795	105.7417785	50.625
14	-9.1125	105.8417785	54.375
15	-0.96214	105.6417785	58.125
16	-4.91195	105.6417785	61.875
17	-1.251	105.6417785	65.625
18	-0.03605	105.5417785	69.375
19	7.90438	105.5417785	73.125
20	-8.70076	105.4417785	76.875
21	-0.81241	105.4417785	80.625
22	-5.19796	105.2417785	84.375
23	-0.42543	105.3417785	88.125
24	-0.65241	105.3417785	91.875
25	1.3753	105.3417785	95.625
26	-0.6432	105.2417785	99.375
27	9.42491	105.2417785	103.125
28	-10.5409	105.2417785	106.875
29	-0.40361	105.1417785	110.625
30	0.45287	105.2417785	114.375
31	-0.80959	105.1417785	118.125
32	-9.40274	105.2417785	121.875
33	7.23145	105.1417785	125.625
34	-8.37286	105.0417785	129.375
35	7.975	105.1417785	133.125
36	3.48966	105.1417785	136.875
37	-0.27676	105.0417785	140.625
38	1.16364	104.9417785	144.375
39	-0.17948	104.9417785	148.125
40	-1.72364	104.8417785	151.875
41	8.61762	104.9417785	155.625
42	-7.94258	104.9417785	159.375
43	1.36969	104.8417785	163.125
44	1.48478	104.8417785	166.875
45	8.1035	104.8417785	170.625
46	-11.00352	105.0417785	174.375
47	8.34722	104.7417785	178.125
