I(x)	J(y)	bx	by	ix	iy	Distance 
2	7	1.0215	1.02071	0.913234	0.965625	0.121473799565997
3	7	1.09248	1.00228	0.970488	0.946875	0.133984185966106
4	7	1.18476	1.00228	1.05001	0.907292	0.164864437171878
5	7	1.26994	0.985274	1.12317	0.890625	0.174642108613587
6	7	1.35749	0.985274	1.18678	0.873958	0.2037968497205
7	7	1.48053	0.966848	1.2822	0.853125	0.228621323653328
8	7	1.56808	0.966848	1.37763	0.836458	0.230808913606039
9	7	1.66982	0.966848	1.51758	0.836458	0.200445927122503
10	7	1.7834	0.966848	1.6798	0.836458	0.166536819052124
11	7	1.95612	0.966848	1.87383	0.836458	0.154185590117884
12	7	2.13122	0.966848	2.07422	0.836458	0.142304434576017
13	7	2.24716	0.948421	2.23326	0.844792	0.104557064041604
14	7	2.35837	0.942752	2.38911	0.842708	0.104660162124851
15	7	2.46248	0.947004	2.53861	0.844792	0.127448302632871
16	7	2.62574	0.966848	2.70719	0.853125	0.139882176237718
17	7	2.73458	0.949839	2.82488	0.853125	0.132316619500349
18	7	2.80794	0.966848	2.93939	0.853125	0.173816061481671
19	7	3.02089	0.985274	3.12387	0.873958	0.151644756770552
20	7	3.10844	0.985274	3.2193	0.873958	0.15710248710953
21	7	3.21964	0.985274	3.33062	0.890625	0.145859499522657
22	7	3.34505	1.00228	3.46103	0.890625	0.160991302327175
23	7	3.44206	1.00228	3.52147	0.907292	0.12380899904288
24	7	3.52488	1.02071	3.60417	0.907292	0.138385500772299
25	7	3.65265	1.03488	3.67733	0.932292	0.105514928536203
26	7	3.726	1.0363	3.77911	0.921875	0.126149723444009
27	7	3.81355	1.04339	3.85863	0.928125	0.123766823603905
28	7	3.92476	1.04906	3.9127	0.946875	0.102894206955494
1	8	0.931583	1.14594	0.833715	1.07813	0.119064442735856
2	8	1.00967	1.14594	0.890969	1.05104	0.15197347597854
3	8	1.07355	1.14594	0.932319	1.02813	0.183916805814477
4	8	1.18239	1.14594	1.04365	0.988542	0.209816391170947
5	8	1.26758	1.1234	1.11044	0.967708	0.221207998191747
6	8	1.33619	1.1234	1.15497	0.940625	0.257385681468492
7	8	1.46633	1.1234	1.25994	0.940625	0.275687382237563
8	8	1.56571	1.10586	1.39671	0.911458	0.257591027801824
9	8	1.67219	1.10586	1.5144	0.911458	0.250379355586678
10	8	1.79523	1.10586	1.67026	0.911458	0.231105254167879
11	8	1.95849	1.08332	1.90246	0.911458	0.180764786238913
12	8	2.10756	1.08332	2.08058	0.926042	0.159575341716695
13	8	2.24243	1.09083	2.2428	0.940625	0.150205455709838
14	8	2.3489	1.08332	2.38275	0.938542	0.148682520102398
15	8	2.45775	1.08833	2.52907	0.953125	0.152862468987649
16	8	2.63757	1.08332	2.71037	0.940625	0.160192705904483
17	8	2.74168	1.08332	2.83124	0.940625	0.168472124177859
18	8	2.82686	1.10586	2.94257	0.967708	0.180207600294771
19	8	3.02562	1.1234	3.14932	0.940625	0.220699774863954
20	8	3.13683	1.1234	3.24156	0.967708	0.18763893989255
21	8	3.23857	1.14594	3.32744	0.967708	0.199159540881174
22	8	3.36398	1.14594	3.47058	0.967708	0.207678130345975
23	8	3.46099	1.14594	3.54055	0.988542	0.176363046027222
24	8	3.54854	1.14594	3.61053	0.988542	0.169165275703969
25	8	3.67158	1.176	3.68369	1.02813	0.148365053162798
26	8	3.74966	1.18351	3.73458	1.05104	0.133325568815588
27	8	3.81828	1.18101	3.7982	1.05104	0.131512004395036
28	8	3.91529	1.18852	3.87453	1.07813	0.117674677394926
1	9	0.931583	1.25615	0.827354	1.15938	0.142225586098283
2	9	1.00493	1.23862	0.884608	1.1353	0.158595101071881
3	9	1.07355	1.23862	0.938681	1.10051	0.193038906081132
4	9	1.16583	1.23862	1.0341	1.07107	0.213133280836194
5	9	1.25574	1.20606	1.09454	1.03896	0.23218064088119
6	9	1.34566	1.20606	1.15497	1.00953	0.273837026349615
7	9	1.44267	1.20606	1.25676	1.00953	0.270530162828473
8	9	1.55388	1.20606	1.38717	1.00953	0.257713532822784
9	9	1.67219	1.18101	1.4985	0.990795	0.257584864316598
10	9	1.80232	1.20606	1.68616	1.00953	0.228291888817802
11	9	1.96322	1.18101	1.90882	1.00953	0.179902057798125
12	9	2.10519	1.18101	2.07422	1.00953	0.174254214583177
13	9	2.24243	1.1785	2.25234	1.01755	0.161254800238629
14	9	2.3489	1.18602	2.38911	1.03093	0.160217827347646
15	9	2.45775	1.17099	2.53543	1.02558	0.164858273981017
16	9	2.63757	1.18101	2.72946	1.03896	0.169180302044889
17	9	2.73695	1.18101	2.84078	1.03896	0.175951332475773
18	9	2.8316	1.20606	2.95529	1.03896	0.207898114710067
19	9	3.03982	1.20606	3.15568	1.03896	0.203337034501834
20	9	3.13683	1.20606	3.2511	1.03896	0.202435280768941
21	9	3.23621	1.20606	3.33698	1.07107	0.168454424103376
22	9	3.36871	1.23862	3.47058	1.07107	0.19608798892334
23	9	3.46572	1.25615	3.54691	1.10051	0.175543799947477
24	9	3.56037	1.25615	3.62007	1.10051	0.166697029367653
25	9	3.68341	1.27369	3.69323	1.1353	0.138737970649711
26	9	3.75203	1.28872	3.73776	1.15938	0.130124818923985
27	9	3.82064	1.30625	3.80774	1.15938	0.147435432986782
28	9	3.91056	1.30625	3.87772	1.18079	0.129686842817612
1	10	0.938682	1.33863	0.817811	1.26292	0.142624691905013
2	10	1.01913	1.35274	0.865523	1.23274	0.194923345059026
3	10	1.06882	1.33863	0.916415	1.20574	0.202205430503238
4	10	1.16347	1.33863	1.0341	1.17397	0.209402751892137
5	10	1.25811	1.33863	1.085	1.14537	0.259454234307324
6	10	1.33383	1.35274	1.13907	1.13425	0.292693248470135
7	10	1.44504	1.35274	1.25358	1.14537	0.282239700432097
8	10	1.54678	1.35274	1.38081	1.14537	0.2656094083424
9	10	1.67219	1.36429	1.51758	1.14537	0.268011601427998
10	10	1.78813	1.35274	1.68616	1.15808	0.21975075995318
11	10	1.96795	1.35274	1.90564	1.15808	0.204389460833968
12	10	2.12175	1.33863	2.0774	1.17397	0.170528115277218
13	10	2.23769	1.33478	2.26506	1.19144	0.145929683409511
14	10	2.35364	1.33478	2.38911	1.18826	0.150752218225803
15	10	2.46011	1.33734	2.54179	1.2105	0.150864203839081
16	10	2.65177	1.33863	2.72628	1.20097	0.156531197210013
17	10	2.75115	1.33863	2.84078	1.20732	0.158983813641515
18	10	2.85053	1.33863	2.95529	1.20732	0.167979087091221
19	10	3.05165	1.36429	3.16522	1.19779	0.201545019536579
20	10	3.14629	1.36429	3.24474	1.22003	0.174652083010768
21	10	3.24804	1.37583	3.32744	1.22639	0.169223738287511
22	10	3.39001	1.38866	3.4992	1.22797	0.194277461894065
23	10	3.48702	1.38866	3.566	1.23274	0.174782398427301
24	10	3.5793	1.40277	3.62962	1.26451	0.147132355381133
25	10	3.69524	1.41432	3.72504	1.29946	0.118662797877009
26	10	3.76859	1.431	3.77275	1.32328	0.107800296845602
27	10	3.84194	1.43613	3.8141	1.34076	0.099350402616195
28	10	3.93185	1.45281	3.87453	1.38047	0.092296576317868
1	11	0.926851	1.53663	0.798727	1.40271	0.185338408798608
2	11	1.01203	1.51688	0.859161	1.36141	0.218036354906699
3	11	1.07355	1.49713	0.903692	1.33917	0.231954956325576
4	11	1.1753	1.49713	1.02774	1.29787	0.247948585799556
5	11	1.25338	1.49713	1.085	1.2788	0.275716907896487
6	11	1.322	1.49713	1.13271	1.2788	0.288961403997143
7	11	1.4474	1.51688	1.25994	1.2788	0.303023659142318
8	11	1.53258	1.51688	1.38717	1.2788	0.278973393892679
9	11	1.65089	1.51688	1.50168	1.2788	0.280972793166883
10	11	1.79523	1.51688	1.69889	1.29787	0.239262984391652
11	11	1.97269	1.51688	1.92154	1.31216	0.211013271857483
12	11	2.10992	1.49713	2.09648	1.32328	0.174368736016523
13	11	2.24243	1.49713	2.28097	1.33758	0.164138764769326
14	11	2.34654	1.50947	2.40184	1.33281	0.185113061667728
15	11	2.45775	1.50454	2.53225	1.3487	0.172732034087485
16	11	2.6494	1.47986	2.70719	1.34552	0.146242674004546
17	11	2.74878	1.49713	2.83442	1.35823	0.163179102828763
18	11	2.8387	1.49713	2.94257	1.36141	0.170906100827326
19	11	3.06585	1.51688	3.16522	1.3757	0.17264469091171
20	11	3.16759	1.53663	3.24474	1.39794	0.158704248840414
21	11	3.26697	1.53663	3.3338	1.39794	0.153951826881009
22	11	3.39711	1.56131	3.49284	1.39794	0.189351498013615
23	11	3.49175	1.55884	3.566	1.417	0.160098869764905
24	11	3.58166	1.57118	3.64234	1.44718	0.138050941322397
25	11	3.70707	1.57859	3.7155	1.46148	0.117413018869289
26	11	3.78279	1.57859	3.76957	1.48848	0.09107458756426
27	11	3.84904	1.59833	3.83318	1.50278	0.096857328581786
28	11	3.92949	1.60327	3.89044	1.53614	0.077661698410478
1	12	0.918516	1.64466	0.789184	1.5014	0.19300309278351
2	12	1.01514	1.62599	0.846438	1.47392	0.227124744807782
3	12	1.07955	1.62599	0.89415	1.44643	0.258098728396712
4	12	1.17348	1.62599	1.00866	1.41644	0.266602391024537
5	12	1.25132	1.62599	1.07227	1.41644	0.275626749427554
6	12	1.33989	1.62599	1.12953	1.39645	0.311351796526052
7	12	1.43919	1.62599	1.2504	1.39645	0.297204097717377
8	12	1.53849	1.62599	1.39035	1.39645	0.27319237031806
9	12	1.6539	1.62599	1.5144	1.39645	0.268605401285976
10	12	1.80957	1.62599	1.69889	1.41644	0.23698368066177
11	12	1.97328	1.62599	1.9279	1.44643	0.185205664060255
12	12	2.11284	1.62599	2.09012	1.44643	0.180991690416991
13	12	2.22825	1.62366	2.25552	1.47392	0.152202892548072
14	12	2.34366	1.62366	2.38593	1.46142	0.167656107851757
15	12	2.45638	1.62132	2.52907	1.49141	0.148863844502283
16	12	2.63083	1.62599	2.72309	1.49141	0.163167656108679
17	12	2.7704	1.64466	2.86305	1.5114	0.162302957767257
18	12	2.87775	1.64466	2.97756	1.5114	0.166494035028286
19	12	3.06294	1.64466	3.15886	1.5114	0.16419157712867
20	12	3.16761	1.661	3.25746	1.5114	0.174508402376505
21	12	3.2696	1.64466	3.35289	1.5114	0.157147865718883
22	12	3.4199	1.67033	3.50556	1.54388	0.152732570527704
23	12	3.49773	1.67033	3.57872	1.54388	0.150163186567148
24	12	3.58361	1.682	3.64234	1.56887	0.127466112359325
25	12	3.71512	1.689	3.72504	1.59885	0.090694150307503
26	12	3.77954	1.689	3.80138	1.63134	0.061657612668672
27	12	3.84395	1.70301	3.85863	1.63134	0.073157988627354
28	12	3.9191	1.71468	3.90952	1.65633	0.059131200731932
1	13	0.9212	1.74735	0.779136	1.62976	0.184416886959953
2	13	1.01514	1.73101	0.839685	1.59704	0.220754202508129
3	13	1.0715	1.73101	0.885818	1.56728	0.247558716315948
4	13	1.18154	1.73101	1.00692	1.54348	0.256241380928218
5	13	1.25937	1.73101	1.07612	1.54348	0.26219851906523
6	13	1.32915	1.73101	1.1309	1.51075	0.29634022693519
7	13	1.44992	1.73101	1.26353	1.51075	0.288540637865795
8	13	1.53849	1.73101	1.37887	1.51075	0.272016565672019
9	13	1.65122	1.74735	1.51438	1.51075	0.273321688857653
10	13	1.80151	1.74735	1.69026	1.54348	0.232248873840111
11	13	1.96523	1.74735	1.93246	1.54348	0.206486924041209
12	13	2.09942	1.74735	2.08239	1.56728	0.180873507733996
13	13	2.23899	1.75202	2.26116	1.59406	0.159508214522011
14	13	2.34366	1.75202	2.37938	1.59406	0.161948386839758
15	13	2.44296	1.74268	2.52066	1.62084	0.144507008826562
16	13	2.62547	1.77069	2.70807	1.64762	0.148219380986429
17	13	2.7704	1.78236	2.86089	1.67142	0.143164673366023
18	13	2.90191	1.78236	3.00217	1.66547	0.153997856153909
19	13	3.06562	1.77769	3.18094	1.66547	0.160910008389783
20	13	3.16493	1.76835	3.24437	1.66547	0.129980798581944
21	13	3.26691	1.77302	3.35105	1.66547	0.136552341979184
22	13	3.40379	1.78702	3.52117	1.68035	0.158608175388282
23	13	3.50041	1.79169	3.58172	1.70117	0.121676565122459
24	13	3.58898	1.79403	3.65092	1.72795	0.090571132266302
25	13	3.70707	1.80103	3.73742	1.72795	0.079131592300421
26	13	3.79295	1.80103	3.80373	1.7577	0.044650837618123
27	13	3.83858	1.8127	3.8787	1.79638	0.04331231695488
28	13	3.9352	1.8057	3.95078	1.79638	0.018154856099678
1	14	0.937303	1.93172	0.805085	1.79638	0.189204955336799
2	14	1.01514	1.93172	0.845452	1.7577	0.243057560557165
3	14	1.08492	1.93172	0.900235	1.72795	0.275010476391355
4	14	1.19227	1.93172	1.0098	1.72795	0.27352790314701
5	14	1.2701	1.93172	1.08188	1.72795	0.277396793961286
6	14	1.33989	1.93172	1.1309	1.70117	0.311175388808305
7	14	1.45798	1.93172	1.26065	1.70117	0.303467348161215
8	14	1.54923	1.93172	1.40193	1.70117	0.273588363239375
9	14	1.65122	1.93172	1.52015	1.70117	0.265203030525671
10	14	1.77736	1.93172	1.68161	1.70117	0.24964247435082
11	14	1.95181	1.93172	1.91516	1.72795	0.207039695227751
12	14	2.08869	1.93172	2.09104	1.7577	0.174035866705688
13	14	2.22557	1.94339	2.24386	1.77853	0.165871467407749
14	14	2.34366	1.94106	2.37649	1.77556	0.168724802266887
15	14	2.44028	1.92472	2.51777	1.79043	0.155043555815777
16	14	2.61741	1.93172	2.69942	1.84399	0.120092435232199
17	14	2.7704	1.93172	2.86377	1.84399	0.128119123474991
18	14	2.91533	1.93172	3.01371	1.84399	0.131814935800159
19	14	3.07099	1.93172	3.17805	1.87077	0.123193936944965
20	14	3.17298	1.93172	3.24725	1.86779	0.097995294785005
21	14	3.26691	1.94806	3.34529	1.87969	0.10400904431827
22	14	3.40648	1.95506	3.52405	1.88862	0.135044357527443
23	14	3.5031	1.96673	3.59613	1.90944	0.109255320236591
24	14	3.5863	1.96906	3.66822	1.9273	0.091949899401794
25	14	3.72317	1.96673	3.76337	1.9392	0.048723104375645
26	14	3.80101	1.97373	3.83545	1.96598	0.035301219525676
27	14	3.86005	1.9784	3.88735	1.9749	0.027523444551872
28	14	3.94325	1.9854	3.94502	1.98085	0.004882151165214
1	15	0.934619	2.02274	0.796436	1.90944	0.178693680607346
2	15	1.03661	2.02274	0.848335	1.87672	0.238263123510542
3	15	1.10102	2.02274	0.900235	1.87672	0.248266906020517
4	15	1.17885	2.05075	0.998268	1.87672	0.25079134678852
5	15	1.26742	2.05075	1.06747	1.84399	0.287627710938984
6	15	1.34525	2.05075	1.12513	1.84399	0.301997536413793
7	15	1.47408	2.05075	1.25777	1.84399	0.29923187280101
8	15	1.56265	2.05075	1.37598	1.84399	0.278559484670689
9	15	1.66732	2.05075	1.50285	1.84399	0.264197044835857
10	15	1.79078	2.05075	1.68738	1.84399	0.231173652477958
11	15	1.94376	2.05075	1.91516	1.87672	0.176364398051307
12	15	2.08601	2.05075	2.06798	1.87672	0.174961486619198
13	15	2.21483	2.03674	2.22656	1.89754	0.13969335309885
14	15	2.31682	2.03674	2.37073	1.90349	0.14374230622889
15	15	2.42417	2.01807	2.51201	1.93622	0.120063683518373
16	15	2.61205	2.03208	2.69077	1.98085	0.093922049061975
17	15	2.78113	2.05075	2.86377	2.01953	0.088340579576999
18	15	2.91801	2.07175	3.00794	2.03738	0.096274097243236
19	15	3.07099	2.07642	3.18959	2.06714	0.118962508379741
20	15	3.16761	2.08342	3.2732	2.07606	0.105846198325684
21	15	3.2696	2.09276	3.377	2.08796	0.107507209060602
22	15	3.40916	2.12076	3.54712	2.12367	0.137990687004595
23	15	3.50578	2.1231	3.6192	2.12664	0.11347523077747
24	15	3.58361	2.12543	3.7057	2.13259	0.122299769828075
25	15	3.71244	2.1231	3.79508	2.16235	0.09148733300299
26	15	3.79832	2.13943	3.87005	2.17127	0.078479159654013
27	15	3.86274	2.1441	3.93925	2.1921	0.090320430136265
28	15	3.9352	2.14877	4.01998	2.20995	0.104549704925457
1	16	0.931935	2.12543	0.799319	2.03738	0.159184816976997
2	16	1.03124	2.12543	0.856985	2.01656	0.205468931775585
3	16	1.1037	2.14177	0.911768	2.01656	0.229162467965415
4	16	1.1869	2.14177	0.998268	2.01656	0.226405776260236
5	16	1.28084	2.14177	1.06747	1.98978	0.261968923729514
6	16	1.35599	2.16044	1.13667	1.98978	0.277895840199165
7	16	1.46871	2.16044	1.27218	1.98978	0.260286143503645
8	16	1.56802	2.16044	1.4077	1.98978	0.234152382007957
9	16	1.64853	2.17911	1.49996	2.01656	0.220217046115872
10	16	1.77467	2.17911	1.67008	2.01656	0.193291413673758
11	16	1.92766	2.17911	1.90363	2.01656	0.164316595023144
12	16	2.05917	2.17911	2.03626	2.03738	0.14356970780774
13	16	2.18531	2.16744	2.21214	2.02846	0.14154606776594
14	16	2.3034	2.16277	2.34478	2.04631	0.1235930256932
15	16	2.42417	2.16277	2.50624	2.0794	0.116987357436605
